year,N,lagN,logN,loglagN,ppt_Sep,ppt_Oct,ppt_Nov,ppt_Dec,ppt_Jan,ppt_Feb,ppt_Mar,ppt_Apr,ppt_May,ppt_Jun,ppt_Jul,ppt_Aug,ppt_Fall,ppt_Win,ppt_Spr,ppt_Sum
1971,716,342.5,6.573680166960646,5.83627165770228,3.11,1.91,5.01,6.45,6.92,3.8,4.68,3.09,2.02,2.71,1.32,1.54,10.03,17.17,9.79,5.57
1972,574,716,6.352629396319567,6.573680166960646,2.23,2.56,3.79,6.73,4.76,3.69,3.35,2.11,2.2,2.9,2.11,2.07,8.58,15.18,7.66,7.08
1973,717.5,574,6.5757729476337765,6.352629396319567,3.2,2.7,2.38,3.7,3.29,2.3,2.7,3.58,1.63,2.68,1.25,2.12,8.280000000000001,9.29,7.91,6.050000000000001
1974,876.5,717.5,6.775936704361289,6.5757729476337765,3.09,1.35,7.13,4.58,5.12,3,7.25,2.25,2.83,1.12,1.41,1.97,11.57,12.7,12.33,4.5
1975,943.5,876.5,6.849596364808605,6.775936704361289,1.09,1.69,0.97,3.77,4.84,4.75,4.48,3.19,3.78,3.05,2.72,1.69,3.75,13.36,11.45,7.46
1976,1160,943.5,7.05617528410041,6.849596364808605,0.73,3.79,4.51,4.62,5.46,4.65,3.73,4.75,1.79,3.26,1.3,1.38,9.03,14.73,10.27,5.9399999999999995
1977,1269.5,1160,7.146378401144733,7.05617528410041,2.24,1.35,0.41,1.35,2.46,1.1,1.84,0.86,3.48,2.26,1.83,2.97,4,4.91,6.18,7.0600000000000005
1978,1430,1269.5,7.265429723253953,7.146378401144733,1.6,1.71,4.15,7.17,5.78,5.21,1.63,1.71,4.24,1.88,1.83,1.17,7.460000000000001,18.16,7.58,4.88
1979,1723.5,1430,7.45211238595692,7.265429723253953,2.77,0.54,3.24,5.02,3.17,4.56,3.31,2.02,1.84,2.1,0.86,2.37,6.550000000000001,12.75,7.17,5.33
1980,1880.5,1723.5,7.539292977910391,7.45211238595692,0.31,2.16,2.02,1.93,5.29,3.34,4.2,1.35,4.96,2.45,2.44,2.14,4.49,10.56,10.51,7.03
1981,2037,1880.5,7.619233416226805,7.539292977910391,3.03,1.06,2.75,4.04,1.2,3.75,1.54,2.91,4.85,4.3,1.34,0.95,6.84,8.99,9.3,6.59
1982,1235,2037,7.118826249062078,7.619233416226805,1.06,2.11,3.87,5.57,6.48,3.03,5.02,4.79,1.95,2.5,2.51,1.8,7.04,15.08,11.76,6.81
1983,1356,1235,7.212294468500341,7.118826249062078,2.33,2.41,3.38,4.67,3.32,3.59,3.68,1.93,1.75,2.42,3.81,1.96,8.120000000000001,11.58,7.36,8.19
1984,1878.5,1356,7.538228865014023,7.212294468500341,2.61,3,5.06,4.63,1.98,1.9,2.76,2.69,3.94,2.71,3.29,2.27,10.67,8.51,9.39,8.27
1985,1714.5,1878.5,7.446876771902975,7.538228865014023,2.52,2.06,4.03,4.12,1.51,2.72,3.71,1.7,2.39,1.44,2.77,1.85,8.61,8.35,7.8,6.0600000000000005
1986,2776,1714.5,7.9287663216266955,7.446876771902975,3.57,1.61,4.9,2.42,3.59,7.52,2.99,4.36,2.32,1.82,3.38,1.95,10.08,13.53,9.67,7.15
1987,2868,2776,7.961370201719511,7.9287663216266955,2.43,1,4.25,0.56,2.66,1.88,2.13,0.76,4.04,1.7,3.82,1.68,7.68,5.1,6.93,7.199999999999999
1988,3147,2868,8.054204897064407,7.961370201719511,0.21,0.39,2.11,3.33,3.92,3.14,2.78,3.43,3.21,0.75,0.75,0.39,2.71,10.39,9.42,1.8900000000000001
1989,2492,3147,7.820840879907344,8.054204897064407,0.97,0.3,6.04,2.04,5.1,2.75,6.42,2.39,3.17,1.58,1.39,2.85,7.31,9.89,11.98,5.82
1990,2835,2492,7.949797216161852,7.820840879907344,0.85,2.47,3.53,2.87,4.12,3.25,1.53,2.4,2.87,1.58,1.46,2.01,6.85,10.24,6.8,5.05
1991,2957.5,2835,7.992099595852542,7.949797216161852,1.65,2.5,3.26,3.43,2.25,1.19,4.83,4.07,4.93,1.45,1.32,1.33,7.41,6.87,13.83,4.1
1992,3280.33,2957.5,8.095699306073465,7.992099595852542,2.24,2.96,3.91,3.39,0.84,2.7,1.3,3.44,2.24,4.79,2.99,0.5,9.11,6.930000000000001,6.98,8.280000000000001
1993,3318.33,3280.33,8.107216923309341,8.095699306073465,2.32,1.72,3.01,5.91,3.61,2.6,2.3,4.67,2.53,4.02,3.82,1.84,7.05,12.120000000000001,9.5,9.68
1994,3782.67,3318.33,8.238185388472793,8.107216923309341,0.36,1.65,1.05,2.64,3.85,4.96,1.58,1.97,2.74,2.69,1.32,0.97,3.06,11.45,6.29,4.98
1995,3799,3782.67,8.242493153187626,8.238185388472793,0.52,2.56,4.93,5.23,4.54,2.73,5.57,3.05,2.26,2.76,2.47,2.06,8.01,12.5,10.879999999999999,7.29
1996,3412.25,3799,8.135127176736304,8.242493153187626,1,2.59,5.41,4.77,6.18,3.61,4.5,3.21,5.66,1.08,1.11,1.09,9,14.559999999999999,13.370000000000001,3.2800000000000002
1997,2047,3412.25,7.624130585661289,8.135127176736304,1.78,2.15,5.59,10.98,6.94,3.49,3.79,2.48,2.53,2.58,4.02,2.14,9.52,21.41,8.8,8.74
1998,1983,2047,7.592366128519796,7.624130585661289,2.21,2.8,2.28,2.17,5.91,1.85,3.39,1.98,1.89,5.64,1.2,1.65,7.289999999999999,9.93,7.26,8.49
1999,2316.5,1983,7.747812704856703,7.592366128519796,1.61,0.73,5.94,4.12,5.96,5.83,2.55,2.24,3.34,2.76,0.84,3.04,8.280000000000001,15.91,8.129999999999999,6.64
2000,2584.33,2316.5,7.857221565726723,7.747812704856703,1.06,0.61,2.51,3.51,4.45,4.08,2.86,2.05,4.36,2.1,0.76,1.13,4.18,12.04,9.27,3.99
2001,3269.5,2584.33,8.092392347001331,7.857221565726723,1.31,2.4,1.85,2.96,1,2.98,1.84,3.2,2.82,2.21,1.91,0.62,5.5600000000000005,6.9399999999999995,7.86,4.74
2002,3802.67,3269.5,8.243458730563423,8.092392347001331,0.66,1.76,3.47,4.32,3.92,2.13,3.54,3.07,2.39,2.74,1.73,1.14,5.890000000000001,10.370000000000001,9,5.61
2003,3785,3802.67,8.23880116587155,8.243458730563423,1.85,1.77,2.43,2.62,4.52,2.69,4.28,3.18,2.54,1.21,0.69,0.79,6.050000000000001,9.83,10,2.69
2004,4119.33,3785,8.323445807760061,8.23880116587155,0.82,1.22,3.88,4.72,3.88,2.49,1.3,1.82,4.1,3.31,2.43,3.69,5.92,11.09,7.22,9.43
2005,4860.33,4119.33,8.488861615823923,8.323445807760061,3.1,2.55,1.29,2.74,3.44,1.8,2.51,1.51,2.74,4.25,1.11,2.44,6.9399999999999995,7.98,6.76,7.8
2006,3792.33,4860.33,8.240735884904884,8.488861615823923,1.88,1.93,5.54,4.16,5.64,2.01,3.07,3.23,2.12,2.65,1.87,0.96,9.35,11.809999999999999,8.42,5.48
2007,4402.33,3792.33,8.389889225201182,8.240735884904884,1.37,2.88,3.74,3.33,2.1,4.62,1.51,3.02,1.46,0.98,1.46,2.56,7.99,10.05,5.99,5
2008,2931,4402.33,7.983098940710892,8.389889225201182,1.34,4.28,2.84,5.23,5.44,4.02,4.49,2,3.39,3.06,0.57,0.4,8.46,14.690000000000001,9.88,4.03
2009,3153.67,2931,8.056322133006498,7.983098940710892,1.1,1.35,3.26,4.23,4.06,2.23,4.44,4.27,2.28,5.02,2.22,1.79,5.71,10.52,10.99,9.03
2010,3725.33,3153.67,8.222910717493772,8.056322133006498,0.56,3.15,2.05,1.98,2.38,1.37,1.46,3.76,2.98,4.72,0.97,1.72,5.76,5.73,8.2,7.41
2011,3618.67,3725.33,8.193861833995765,8.222910717493772,0.98,1.76,5.1,5.56,3.72,2.9,5.27,5.54,4.46,2.53,1.24,1.26,7.84,12.18,15.27,5.029999999999999
2012,4095.33,3618.67,8.317602579120873,8.193861833995765,0.6,2.63,4.03,2.59,3.75,3.11,4.66,3.52,4.01,1.68,1.76,0.35,7.26,9.45,12.19,3.79
2013,4660.33,4095.33,8.446841540063039,8.317602579120873,1.16,2.1,2.57,5.2,2.51,1.47,2.68,2.44,1.92,1.55,1.75,0.89,5.83,9.18,7.04,4.19
2014,4702.67,4660.33,8.455885711505275,8.446841540063039,3.83,2.42,3.41,3.36,3.39,4.61,5.91,3.54,1.87,2.16,1.02,4.23,9.66,11.36,11.32,7.41
2015,4763.33,4702.67,8.468702282465495,8.455885711505275,2.76,1.81,3.89,3.54,3.17,1.3,0.68,1.32,3.61,1.04,2.34,1.8,8.46,8.01,5.61,5.18
2016,5001.33,4763.33,8.51745915604451,8.468702282465495,1.76,1.67,3.13,4.67,2.63,2.08,3.18,1.49,2.56,0.72,1.72,0.36,6.56,9.379999999999999,7.23,2.8
2017,4816,5001.33,8.479698986988657,8.51745915604451,2.24,6.27,2.16,6.5,3.98,7.92,4.32,4.43,1.25,1.72,1.22,1.09,10.67,18.4,10,4.03
